priod,left_team,right_team,score
18.01. 01:00,레바논,북한,4 : 1
18.01. 01:00,사우디아라비아,카타르,0 : 2
17.01. 22:30,오만,투르크메니스탄,3 : 1
17.01. 22:30,일본,우즈베키스탄,2 : 1
17.01. 01:00,베트남,예멘,2 : 0
17.01. 01:00,이란,이라크,0 : 0
16.01. 22:30,대한민국,중국,2 : 0
16.01. 22:30,키르기스스탄,필리핀,3 : 1
15.01. 22:30,팔레스타인,요르단,0 : 0
15.01. 22:30,호주,시리아,3 : 2
15.01. 01:00,아랍에미리트,태국,1 : 1
15.01. 01:00,인도,바레인,0 : 1
14.01. 01:00,투르크메니스탄,우즈베키스탄,0 : 4
13.01. 22:30,오만,일본,0 : 1
13.01. 20:00,북한 ,카타르,0 : 6
13.01. 01:00,레바논,사우디아라비아,0 : 2
12.01. 22:30,예멘,이라크,0 : 3
12.01. 20:00,베트남,이란,0 : 2
12.01. 01:00,키르기스스탄,대한민국,0 : 1
11.01. 22:30,필리핀,중국,0 : 3
11.01. 20:00,팔레스타인,호주,0 : 3
11.01. 01:00,인도,아랍에미리트,0 : 2
10.01. 22:30,요르단,시리아,2 : 0
10.01. 20:00,바레인,태국,0 : 1
10.01. 01:00,카타르,레바논,2 : 0
09.01. 22:30,우즈베키스탄 ,오만,2 : 1
09.01. 20:00,일본,투르크메니스탄,3 : 2
09.01. 01:00,사우디아라비아,북한 ,4 : 0
08.01. 22:30,이라크,베트남,3 : 2
08.01. 01:00,이란,예멘,5 : 0
07.01. 22:30,대한민국,필리핀,1 : 0
07.01. 20:00,중국,키르기스스탄,2 : 1
07.01. 01:00,시리아,팔레스타인 ,0 : 0
06.01. 22:30,태국,인도,1 : 4
06.01. 20:00,호주,요르단,0 : 1
06.01. 01:00,아랍에미리트,바레인,1 : 1
