랭킹,국가,점수
1,벨기에,1494
2,아르헨티나,1455
3,스페인,1370
4,독일,1347
5,칠레,1273
6,브라질,1251
7,포르투갈,1219
8,콜롬비아,1211
9,잉글랜드,1106
10,오스트리아,1091
11,우루과이,1074
12,스위스,1050
13,에콰도르,1040
14,네덜란드,994
15,이탈리아,991
16,루마니아,980
17,웨일스,974
18,크로아티아,958
19,코트디부아르,950
20,헝가리,945
21,터키,933
22,멕시코,898
22,보스니아 헤르체고비나,898
24,러시아,895
25,프랑스,868
26,슬로바키아,860
26,체코,860
28,알제리,845
29,우크라이나,842
30,북아일랜드,825
31,아일랜드,810
32,미국,784
33,가나,778
34,폴란드,776
35,스웨덴,771
36,아이슬란드,761
37,코스타리카,759
38,알바니아,746
39,카보베르데,745
40,튀니지,711
41,그리스,706
42,덴마크,685
43,핀란드,663
44,세네갈,661
45,이란,653
46,파라과이,647
47,페루,644
48,콩고공화국,638
49,트리니다드 토바고,628
50,기니,621
51,한국,617
52,스코틀랜드,609
53,일본,607
54,자메이카,591
54,노르웨이,591
56,세르비아,590
57,호주,585
57,이집트,585
59,카메룬,583
60,콩고민주공화국,580
61,슬로베니아,565
62,말리,552
63,우간다,550
64,파나마,544
65,아랍에미리트,543
66,나이지리아,541
67,벨로루시,514
68,볼리비아,500
69,적도 기니,498
69,이스라엘,498
71,불가리아,494
72,남아공,487
73,잠비아,481
74,우즈베키스탄,470
75,모로코,469
76,가봉,468
77,아이티,467
78,베냉,461
79,키프로스,441
80,사우디아라비아,432
81,리비아,427
82,앤티가바부다,409
83,베네수엘라,408
84,중국,405
85,몬테네그로,403
86,카타르,401
87,요르단,399
88,캐나다,388
89,이라크,381
89,부르키나파소,381
91,쿠바,377
92,니카라과,370
93,에스토니아,369
94,과테말라,368
95,보츠와나,364
96,토고,363
97,페로 제도,357
98,케냐,345
99,엘살바도르,344
100,니제르,339
101,온두라스,338
101,르완다,338
101,라트비아,338
104,오만,333
105,북한,330
105,앙골라,330
107,라이베리아,329
108,키르기즈스탄,324
109,말라위,322
110,짐바브웨,318
111,모잠비크,317
112,부룬디,307
113,중앙아프리카,302
114,차드,301
115,아루바,298
116,모리타니,297
117,아제르바이잔,296
118,시에라리온,295
119,투르크메니스탄,294
120,에티오피아,293
121,세인트키츠 네비스,289
122,조지아,286
123,아르메니아,285
124,바레인,278
125,시리아,276
126,리투아니아,274
127,벨리즈,273
128,마다가스카르,272
129,나미비아,266
129,카자흐스탄,266
131,스와질란드,265
132,탄자니아,264
133,태국,263
134,팔레스타인,259
134,수단,259
136,마케도니아,257
137,중국 홍콩,252
138,남수단,246
139,쿠웨이트,239
139,필리핀,239
139,레바논,239
142,룩셈부르크,237
143,세인트빈센트 그레나딘,221
144,세인트루시아,216
145,바베이도스,214
146,기니비사우,207
147,베트남,200
148,타지키스탄,196
149,싱가포르,195
150,아프가니스탄,194
151,뉴질랜드,192
151,퀴라소,192
153,레소토,185
154,도미니카 공화국,180
155,몰도바,172
156,상토메프린시페,170
157,괌,162
158,미얀마,155
159,버뮤다,154
160,몰디브,150
161,가이아나,144
162,몰타,143
163,그레나다,139
164,감비아,135
164,리히텐슈타인,135
166,인도,132
167,아메리칸 사모아,128
167,쿡제도,128
167,사모아,128
170,말레이시아,127
170,동티모르,127
172,푸에르토리코,120
172,코모로,120
174,예멘,119
174,모리셔스,119
176,도미니카 연방,107
177,미국령 버진아일랜드,88
177,라오스,88
179,인도네시아,84
180,캄보디아,83
181,뉴 칼레도니아,80
182,방글라데시,78
182,중국 대북,78
184,파키스탄,76
185,브루나이,74
186,피지,68
187,몬트세랫,67
188,부탄,64
189,타히티,56
189,세이셸,56
191,수리남,55
192,네팔,49
193,바누아투,47
194,스리랑카,45
195,중국 마카오,44
196,케이맨 제도,43
197,터크스 케이커스 제도,33
198,산마리노,28
199,영국령 버진아일랜드,27
200,솔로몬제도,26
201,몽골,6
201,안도라,6
203,파푸아뉴기니,4
204,통가,0
204,앵귈라,0
204,바하마,0
204,지부티,0
204,에리트레아,0
