team,foul,goal,possession,shoot,rank,salary
바레인,17.833333333333332,1.5,48.0,5.666666666666667,35.0,66162.5
북한,16.166666666666668,0.3333333333333333,44.833333333333336,3.3333333333333335,114.5,118777.0
사우디아라비아,11.5,1.0,56.333333333333336,3.3333333333333335,89.0,294800.0
시리아,18.666666666666668,1.3333333333333333,49.333333333333336,4.666666666666667,106.0,138091.0
아랍에미리트,12.222222222222221,1.4444444444444444,51.888888888888886,3.4444444444444446,89.0,72780.5
오만,11.0,0.3333333333333333,34.666666666666664,2.0,104.0,165857.0
오스트레일리아,17.5,2.1666666666666665,54.833333333333336,7.416666666666667,60.0,3222497.5
요르단,15.142857142857142,1.4285714285714286,39.714285714285715,3.0,84.0,4106.0
우즈베키스탄,17.9,1.5,54.6,4.6,73.5,583492.0
이라크,19.2,1.2,49.5,4.3,90.0,7852.0
이란,17.375,1.625,45.5,4.0,43.5,1246772.5
인도,12.666666666666666,1.0,36.0,4.0,160.0,1817.0
일본,20.0,2.3,60.9,6.8,35.0,5601265.0
중국,14.0,1.2857142857142858,46.42857142857143,4.571428571428571,77.0,75659.5
카타르,15.857142857142858,1.2857142857142858,49.285714285714285,4.571428571428571,89.0,74331.0
쿠웨이트,13.833333333333334,0.3333333333333333,50.666666666666664,2.1666666666666665,117.5,7749.0
팔레스타인,13.0,0.3333333333333333,41.333333333333336,2.0,134.0,1825.0
한국,15.416666666666666,1.75,52.5,6.5,41.0,2307715.5
