height,age,cap,goal,salary,name,nation
185,27,0,0,225000,Eiji Kawashima,japan
183,24,0,0,108000,Shusaku Nishikawa,japan
187,21,0,0,900,Shuichi Gonda,japan
186,28,0,0,153000,Daiki Iwamasa,japan
189,21,0,0,126000,Maya Yoshida,japan
179,24,0,0,720,Masahiko Inoha,japan
177,24,0,0,675,Ryota Moriwaki,japan
183,27,0,0,630,Mitsuru Nagata,japan
169,23,0,0,234000,Yuto Nagatomo,japan
176,22,0,0,450000,Atsuto Uchida,japan
180,26,0,0,405000,Makoto Hasebe,japan
178,27,0,0,153000,Yasuyuki Konno,japan
177,24,0,0,108000,Hajime Hosogai,japan
177,25,0,0,540,Takuya Honda,japan
178,30,0,0,585000,Yasuhito Endō,japan
176,22,0,0,171000,Yosuke Kashiwagi,japan
173,26,0,0,900,Jungo Fujimoto,japan
175,29,0,0,198000,Daisuke Matsui,japan
175,21,0,0,225000,Shinji Kagawa,japan
182,24,0,0,540000,Keisuke Honda,japan
182,24,0,0,630,Tadanari Lee,japan
174,24,0,0,261000,Shinji Okazaki,japan
184,28,0,0,234000,Ryoichi Maeda,japan
